UPC,SKU,ItemName,Price,Cost,SALEPRICE,SizeName,PackName,Vintage,Department,PriceA,PriceB,PriceC,TotalQty,ALTUPC1,ALTUPC2,STORECODE
8901414001510,0,BIKANO GULAB JAMUN,3.49,0,0,450 GM,,,SWEETS,0,0,0,0,,,
8901414002791,0,BIKANO GUR REWRI,3.99,0,0,400 GM,,,SNACKS,0,0,0,0,,,
8901414001596,0,BIKANO KALAM PETHA,3.49,0,0,1 KG,,,SWEETS,0,0,0,0,,,
8901414001619,0,BIKANO KESAR RASBARI,3.49,0,0,1 KG,,,SWEETS,0,0,0,0,,,
8901414004900,0,BIKANO PANJEERA LADOO,3.49,0,0,14 OZ,,,SNACKS,0,0,0,0,,,
8901414003750,0,BIKANO PANJEERI LADDU,4.99,0,0,400 GM,,,SNACKS,0,0,0,0,,,
8901414001503,0,BIKANO RASGULLA,3.99,0,0,1 KG,,,SWEETS,0,0,0,0,,,
8901414001862,0,BIKANO SOAN PAPDI,2.49,0,0,250 GM,,,SNACKS,0,0,0,0,,,
8901414001770,0,BIKANO SUGAR REWARI,2.99,0,0,400 GM,,,SNACKS,0,0,0,0,,,
088168246621,0,BIO POWDER,1.99,0,0,,,,ATTA,0,0,0,0,,,
088168246447,0,BIO POWER OVEN CLEANER,1.99,0,0,13 oz,,,ATTA,0,0,0,0,,,
5000354700064,0,BIRDS CUSTARD POWDER,3.99,0,0,300 GM,,,ATTA,0,0,0,0,,,
5000354911491,0,BIRDS ORI CUSTARD PODER,3.99,0,0,,,,ATTA,0,0,0,0,,,
8908006676200,0,BIRYANI,0.99,0,0,,,,ATTA,0,0,0,0,,,
8904166000886,0,BITTA MASALA,1.49,0,0,250g,,,ATTA,0,0,0,0,,,
808550300355,0,BK CHINESE SAMOSA,3.99,0,0,255 GM,,,ATTA,0,0,0,0,,,
814550903847,0,BLACK  KOKAM,1.99,0,0,7 OZ,,,ATTA,0,0,0,0,,,
071430011089,0,BLACK BARRIES,0.99,0,0,,,,ATTA,0,0,0,0,,,
715756100248,0,BLACK BERRIES,2.99,0,0,340G,,,ATTA,0,0,0,0,,,
81204,0,BLACK BERRIES,2.49,0,0,,,,ATTA,0,0,0,0,,,
715756100200,0,BLACK BERRY,2.99,0,0,,,,FRUITS,0,0,0,0,,,
202397,0,BLACK CARDAMOM,4.99,0,0,3 5 OZ,,,DRY FRUITS,0,0,0,0,,,
011433112673,0,BLACK CARDAMOM,3.99,0,0,100g,,,DRY,0,0,0,0,,,
829426801080,0,BLACK CARDAMOM,9.99,0,0,200G,,,ATTA,0,0,0,0,,,
202589,0,BLACK CARDAMOM,4.99,0,0,3 5 OZ,,,SPICES,0,0,0,0,,,
234368,0,BLACK CARDAMON,8.99,0,0,2 LB,,,DALS AND BEANS,0,0,0,0,,,
202364,0,BLACK EYE BEANS,4.99,0,0,4LB,,,DALS AND BEANS,0,0,0,0,,,
202312,0,BLACK EYE BEANS,2.99,0,0,2 LB,,,DALS AND BEANS,0,0,0,0,,,
814550902130,0,BLACK EYE BEANS,4.99,0,0,4 LB,,,ATTA,0,0,0,0,,,
051179100220,0,BLACK EYE PEAS,4.99,0,0,4 LB,,,ATTA,0,0,0,0,,,
814550902123,0,BLACK EYE PEAS,2.99,0,0,2 LB,,,ATTA,0,0,0,0,,,
745028,0,BLACK PEPER,8.99,0,0,3LB,,,ATTA,0,0,0,0,,,
548735,0,BLACK PEPER WHOLE,9.99,0,0,4lb,,,ATTA,0,0,0,0,,,
200110,0,BLACK PEPPER,3.99,0,0,7 OZ,,,SPICES,0,0,0,0,,,
200100,0,BLACK PEPPER,7.49,0,0,14 OZ,,,SPICES,0,0,0,0,,,
202371,0,BLACK PEPPER,2.49,0,0,3 5 OZ,,,SPICES,0,0,0,0,,,
808550300362,0,BLACK PEPPER CHICKEN,4.49,0,0,10 OZ,,,FROZEN STUFF,0,0,0,0,,,
201830,0,BLACK PEPPER POWDER,14.99,0,0,,,,ATTA,0,0,0,0,,,
20229,0,BLACK PEPPER POWDER,2.99,0,0,3 5 OZ,,,SPICES,0,0,0,0,,,
051179340602,0,BLACK PEPPER POWDER,7.99,0,0,400GM,,,ATTA,0,0,0,0,,,
051179340626,0,BLACK PEPPER POWDER,2.99,0,0,100 GM,,,ATTA,0,0,0,0,,,
051179340503,0,BLACK PEPPER POWDER,4.49,0,0,200 GM,,,SPICES,0,0,0,0,,,
200254,0,BLACK PEPPER POWDER,2.99,0,0,3 5 OZ,,,SPICES,0,0,0,0,,,
202356,0,BLACK PEPPER POWDER,7.99,0,0,14 OZ,,,SPICES,0,0,0,0,,,
200190,0,BLACK PEPPER POWDER,4.49,0,0,7 OZ,,,SPICES,0,0,0,0,,,
051179312906,0,BLACK PEPPER WHOLE,3.99,0,0,7 OZ,,,ATTA,0,0,0,0,,,
5022496004732,0,DABUR VATIKA ALMOND,5.99,0,0,300 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496004435,0,DABUR VATIKA BLACK SEED ENRICHEDOIL,3.99,0,0,200 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496005388,0,DABUR VATIKA CACTUS,5.99,0,0,500 GM,,,HAIR PRODUCTS,0,0,0,0,,,
5022496004794,0,DABUR VATIKA CACTUS ENRICHED OIL,4.99,0,0,300 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496004824,0,DABUR VATIKA COCONUT ENRICHED OIL,4.99,0,0,300 ML,,,HAIR PRODUCTS,0,0,0,0,,,
89003350,0,DABUR VATIKA ENRICHED COCONUT OIL,2.99,0,0,150ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496121507,0,DABUR VATIKA ENRICHED COCONUT OIL,2.99,0,0,150 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496123006,0,DABUR VATIKA ENRICHED COCONUT OIL,4.49,0,0,300 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496006453,0,DABUR VATIKA GARLIC HAIR MASK,5.99,0,0,17 36 OZ,,,HAIR PRODUCTS,0,0,0,0,,,
5022496006576,0,DABUR VATIKA HAIR FALL CONTROL CREA,4.99,0,0,210 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496004763,0,DABUR VATIKA OLIVE ENRICHED HAIROIL,5.99,0,0,300 ML,,,HAIR PRODUCTS,0,0,0,0,,,
5022496112000,0,DABURB JASMIE HAIR OIL,4.49,0,0,200ML,,,ATTA,0,0,0,0,,,
